Name,Age,Height,Reach,Wins,Losses,SLpM,Str. Acc,Str. Def,SApM,TD Avg.,TD Acc.,TD Def.,Sub avg.
Khamzat Chimaev,31,188,191,15,0,4.04,0.60,0.43,2.32,5.29,0.55,0.85,1.8
Dricus du Plessis,32,186,193,23,3,5.18,0.48,0.52,4.33,2.22,0.51,0.34,0.7
Robert Whittaker,35,183,185,27,9,4.39,0.43,0.59,3.36,0.73,0.38,0.82,0.0
Kamaru Usman,38,183,193,21,4,4.16,0.51,0.55,2.67,2.79,0.44,0.89,0.1
Kevin Holland,33,192,205,28,15,4.26,0.49,0.50,3.22,0.83,0.39,0.56,0.5
Gilbert Burns,39,178,180,22,9,3.15,0.48,0.52,3.64,2.12,0.37,0.53,0.5
Li Jingliang,38,183,180,19,9,4.46,0.42,0.56,3.95,1.19,0.41,0.60,0.0
Gerald Meerschaert,38,186,196,37,21,3.01,0.45,0.53,3.52,1.82,0.30,0.42,1.4
Rhys McKee,30,188,198,14,7,4.71,0.40,0.47,7.15,0.00,0.00,0.47,0.0
John Phillips,40,180,190,22,11,1.72,0.34,0.49,4.03,0.00,0.00,0.07,0.0
Sean Strickland,35,185,193,30,7,6.04,0.42,0.60,4.57,0.71,0.64,0.76,0.2
Anthony Hernandez,32,183,190,15,3,4.57,0.60,0.51,3.10,5.88,0.48,0.68,1.6
Paulo Costa,35,186,183,15,4,6.26,0.58,0.49,6.20,0.32,0.50,0.80,0.0
Israel Adesanya,36,193,203,24,6,4.03,0.48,0.55,3.22,0.05,0.09,0.76,0.1
Abus Magomedov,35,188,198,28,7,3.07,0.49,0.55,3.43,2.61,0.59,1.00,0.4
Nassourdine Imavov,30,191,191,17,4,4.28,0.54,0.58,3.17,0.74,0.32,0.81,1.0
Jared Cannonier,42,180,196,18,9,4.42,0.49,0.56,4.35,0.54,0.40,0.64,0.0
Alex Pereira,38,193,201,13,3,5.16,0.62,0.53,3.50,0.11,0.50,0.79,0.2
Jack Hermansson,37,185,196,24,10,5.15,0.45,0.56,3.72,1.48,0.29,0.80,0.4
Uriah Hall,41,183,201,18,11,3.23,0.48,0.54,3.85,0.54,0.38,0.64,0.1
Krzysztof Jotko,36,185,198,24,6,2.98,0.42,0.57,2.23,1.33,0.39,0.82,0.1
Brendan Allen,30,188,191,26,7,3.59,0.53,0.47,3.62,1.56,0.42,0.56,1.1
Jack Marshman,36,183,185,23,10,2.74,0.25,0.56,4.19,0.00,0.00,0.20,0.0
Nordine Taleb,44,185,188,15,7,3.66,0.51,0.66,2.62,1.94,0.76,0.73,0.0
Elizeu Zaleski dos Santos,39,180,185,25,10,4.16,0.41,0.55,3.56,0.79,0.20,0.67,0.4
Court McGee,41,180,191,23,14,4.50,0.36,0.60,3.65,1.78,0.24,0.70,0.5
Tom Breese,34,191,185,12,3,3.34,0.50,0.60,2.81,0.00,0.00,0.70,1.1
Igor Araujo,45,185,193,25,9,1.52,0.42,0.49,2.86,0.86,0.15,0.22,0.6
Alex Garcia,38,175,183,15,6,1.81,0.31,0.59,3.03,3.72,0.52,0.66,0.1
Santiago Ponzinibbio,39,183,185,31,9,4.78,0.41,0.61,4.68,0.60,0.27,0.71,0.0
Luke Barnatt,38,198,196,13,4,4.43,0.36,0.59,3.87,0.63,0.42,0.63,0.4
Robert McDaniel,42,191,191,28,10,1.64,0.44,0.56,1.98,0.93,0.50,0.50,1.4
