Fight,Belt,KO/TKO/Submission,Time ,Sig. Str. ,Sig. Str. B,Sig. Str. %,TD,TD %,CTRL,TD B,TD % B,CTRL B,Won
Anthony Hernandez,0,1,12.4,110,55,0.45,0,0.00,0.3,0,0.00,0.5,1
Dricus Du Plessis,1,0,25.0,128,147,0.46,1,0.50,0.1,1,0.50,0.1,0
Paulo Costa,0,0,25.0,182,158,0.45,0,0.0,0.0,0,0.00,0.0,1
Dricus Du Plessis,1,0,25.0,173,137,0.42,0,0.00,0.0,6,0.54,2.1,0
Israel Adesanya,1,0,25.0,137,94,0.52,0,0.00,0.2,0,0.00,0.0,1
Abus Magomedov,0,1,14.3,81,47,0.43,0,0.00,0.2,1,0.50,0.4,1
Nassourdine Imavov,0,0,25.0,182,123,0.44,1,1.00,4.2,0,0.00,0.2,1
Jared Cannonier,0,0,25.0,152,141,0.38,0,0.00,0.0,1,1.00,0.8,0
Alex Pereira,0,1,2.6,15,25,0.51,0,0.00,0.0,0,0.00,0.0,0
Jack Hermansson,0,0,25.0,153,137,0.46,0,0.00,0.0,0,0.00,0.5,1
Urial Hall,0,0,25.0,186,107,0.43,4,0.66,7.0,0,0.00,0.0,1
Kryzystof Jotko,0,0,15.0,84,37,0.46,0,0.00,0.0,0,0.00,0.0,1
Brendan Allen,0,1,6.5,94,51,0.58,1,1.00,1.6,0,0.00,0.0,1
Jack Marshman,0,0,15.0,106,48,0.46,0,0.00,0.0,0,0.00,0.0,1
Nordine Taleb,0,1,8.2,65,48,0.36,0,0.00,0.6,0,0.00,0.0,1
Elizeu Zaleski,0,1,3.7,14,15,0.38,0,0.00,0.0,0,0.00,0.1,0
Court McGee,0,0,15.0,78,62,0.30,3,1.00,2.7,0,0.00,1.7,1
Kamaru Usman,0,0,15.0,27,90,0.26,0,0.00,0.0,2,0.25,8.1,0
Tom Breese,0,0,15.0,73,62,0.35,0,0.00,0.3,0,0.00,0.2,1
Alex Garcia,0,1,14.4,84,23,0.48,1,0.50,2.8,3,0.42,3.5,1
Igor Araujo,0,0,15.0,71,39,0.42,3,1.00,5.5,0,0.00,0.3,1
Santiago Ponzinibbio,0,0,15.0,44,50,0.26,2,0.50,1.4,1,0.33,0.5,0
Luke Barnatt,0,0,15.0,48,44,0.29,1,0.33,0.7,0,0.00,0.5,1
Robert McDaniel,0,1,4.5,20,4,0.57,1,0.50,2.6,1,1.00,0.4,1
